,Date,Pattern,Time
0,28 November 2021,Awake, 01:13-01:42
1,28 November 2021,Deep, 01:42-02:58
2,28 November 2021,Light, 02:58-03:16
3,28 November 2021,Deep, 03:16-03:30
4,28 November 2021,Light, 03:30-04:04
5,28 November 2021,Awake, 04:04-04:12
6,28 November 2021,Light, 04:12-04:23
7,28 November 2021,REM, 04:23-04:27
8,28 November 2021,Awake, 04:27-04:38
9,28 November 2021,REM, 04:38-04:43
10,28 November 2021,Light, 04:43-05:24
11,28 November 2021,Deep, 05:24-05:42
12,28 November 2021,Light, 05:42-05:48
13,28 November 2021,Awake, 05:48-05:58
14,28 November 2021,Light, 05:58-06:07
15,28 November 2021,REM, 06:07-06:10
16,28 November 2021,Awake, 06:10-06:17
17,28 November 2021,REM, 06:17-06:37
18,28 November 2021,Light, 06:37-06:55
19,28 November 2021,Deep, 06:55-07:40
20,28 November 2021,Light, 07:40-08:01
21,28 November 2021,REM, 08:01-08:19
22,27 November 2021,Awake, 23:47-00:38
23,27 November 2021,Light, 00:38-00:44
24,27 November 2021,Deep, 00:44-00:58
25,27 November 2021,Light, 00:58-01:10
26,27 November 2021,Deep, 01:10-02:49
27,27 November 2021,Deep, 01:10-02:49
28,27 November 2021,Awake, 02:52-03:12
29,27 November 2021,Light, 03:12-03:42
30,27 November 2021,REM, 03:42-03:54
31,27 November 2021,Light, 03:54-04:29
32,27 November 2021,Deep, 04:29-04:59
33,27 November 2021,Deep, 04:29-04:59
34,27 November 2021,Awake, 05:00-05:06
35,27 November 2021,Light, 05:06-05:23
36,27 November 2021,Light, 05:06-05:23
37,27 November 2021,Light, 05:26-05:38
38,27 November 2021,Awake, 05:38-06:09
39,27 November 2021,Light, 06:09-06:43
40,27 November 2021,Deep, 06:43-06:54
41,27 November 2021,Light, 06:54-07:08
42,27 November 2021,Deep, 07:08-07:20
43,27 November 2021,Light, 07:20-07:36
44,27 November 2021,REM, 07:36-08:08
45,27 November 2021,Light, 08:08-09:00
46,26 November 2021,Awake, 00:28-00:51
47,26 November 2021,Light, 00:51-01:05
48,26 November 2021,Deep, 01:05-01:23
49,26 November 2021,Light, 01:23-01:47
50,26 November 2021,Deep, 01:47-02:38
51,26 November 2021,Light, 02:38-02:53
52,26 November 2021,Awake, 02:53-03:02
53,26 November 2021,Light, 03:02-03:10
54,26 November 2021,REM, 03:10-03:33
55,26 November 2021,Light, 03:33-03:55
56,26 November 2021,Deep, 03:55-04:13
57,26 November 2021,Light, 04:13-04:50
58,26 November 2021,REM, 04:50-05:45
59,26 November 2021,Light, 05:45-06:26
60,26 November 2021,Deep, 06:26-06:44
61,26 November 2021,Deep, 06:26-06:44
62,26 November 2021,Light, 06:46-07:51
63,25 November 2021,Awake, 23:40-01:06
64,25 November 2021,Light, 01:06-01:17
65,25 November 2021,Deep, 01:17-01:35
66,25 November 2021,Light, 01:35-01:45
67,25 November 2021,Deep, 01:45-03:30
68,25 November 2021,Light, 03:30-03:42
69,25 November 2021,REM, 03:42-03:55
70,25 November 2021,Light, 03:55-04:23
71,25 November 2021,Deep, 04:23-04:51
72,25 November 2021,Light, 04:51-05:36
73,25 November 2021,REM, 05:36-06:15
74,25 November 2021,Light, 06:15-07:18
75,25 November 2021,Awake, 07:18-07:27
76,24 November 2021,Awake, 23:49-01:01
77,24 November 2021,Light, 01:01-01:18
78,24 November 2021,Deep, 01:18-02:27
79,24 November 2021,Light, 02:27-02:36
80,24 November 2021,Deep, 02:36-03:38
81,24 November 2021,Light, 03:38-03:50
82,24 November 2021,REM, 03:50-04:03
83,24 November 2021,Light, 04:03-04:19
84,24 November 2021,Deep, 04:19-04:47
85,24 November 2021,Light, 04:47-04:57
86,24 November 2021,Deep, 04:57-05:05
87,24 November 2021,Awake, 05:05-05:11
88,24 November 2021,Light, 05:11-05:20
89,24 November 2021,REM, 05:20-06:02
90,24 November 2021,Light, 06:02-06:55
91,24 November 2021,REM, 06:55-07:55
92,23 November 2021,Awake, 23:35-00:44
93,23 November 2021,Light, 00:44-00:50
94,23 November 2021,Awake, 00:50-00:57
95,23 November 2021,Light, 00:57-01:18
96,23 November 2021,Deep, 01:18-01:33
97,23 November 2021,Light, 01:33-01:43
98,23 November 2021,Deep, 01:43-02:19
99,23 November 2021,Light, 02:19-03:10
100,23 November 2021,Deep, 03:10-03:44
101,23 November 2021,Light, 03:44-04:09
102,23 November 2021,Deep, 04:09-04:21
103,23 November 2021,Awake, 04:21-04:28
104,23 November 2021,Light, 04:28-04:38
105,23 November 2021,REM, 04:38-05:15
106,23 November 2021,Light, 05:15-06:41
107,23 November 2021,REM, 06:41-07:23
108,23 November 2021,Light, 07:23-07:55
109,22 November 2021,Awake, 23:32-23:43
110,22 November 2021,Light, 23:43-23:49
111,22 November 2021,Light, 23:43-23:49
112,22 November 2021,Awake, 23:52-00:12
113,22 November 2021,Light, 00:12-00:41
114,22 November 2021,Deep, 00:41-00:50
115,22 November 2021,Deep, 00:41-00:50
116,22 November 2021,Deep, 00:41-00:50
117,22 November 2021,Light, 00:55-01:08
118,22 November 2021,Deep, 01:08-01:52
119,22 November 2021,REM, 01:52-02:01
120,22 November 2021,Light, 02:01-02:18
121,22 November 2021,Deep, 02:18-03:01
122,22 November 2021,Light, 03:01-03:11
123,22 November 2021,REM, 03:11-03:49
124,22 November 2021,Light, 03:49-04:07
125,22 November 2021,Deep, 04:07-04:17
126,22 November 2021,Light, 04:17-04:55
127,22 November 2021,Awake, 04:55-05:02
128,22 November 2021,Light, 05:02-05:25
129,22 November 2021,REM, 05:25-06:07
130,22 November 2021,Light, 06:07-07:07
131,22 November 2021,Awake, 07:07-07:14
132,22 November 2021,Light, 07:14-07:45
133,22 November 2021,Awake, 07:45-07:51
134,22 November 2021,Light, 07:51-08:10
135,21 November 2021,Awake, 00:27-01:08
136,21 November 2021,Light, 01:08-01:21
137,21 November 2021,Deep, 01:21-02:26
138,21 November 2021,Light, 02:26-03:09
139,21 November 2021,Deep, 03:09-04:00
140,21 November 2021,REM, 04:00-04:16
141,21 November 2021,REM, 04:00-04:16
142,21 November 2021,Awake, 04:19-04:26
143,21 November 2021,Light, 04:26-05:28
144,21 November 2021,REM, 05:28-05:54
145,21 November 2021,Light, 05:54-06:47
146,21 November 2021,Deep, 06:47-06:58
147,21 November 2021,Light, 06:58-07:12
148,21 November 2021,REM, 07:12-07:23
149,21 November 2021,Light, 07:23-07:37
150,21 November 2021,REM, 07:37-07:50
151,21 November 2021,Light, 07:50-08:16
